Name,Description of Question,Link to STACK question,Link to STACK question,Review status,Feedback Section
Completing a phrase for use of statistical methods,"Given a statement, need to choose the appropriate phrase that completes it",https://ecampus.idems.international/question/bank/history/history.php?entryid=85793&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046&courseid=248,https://ecampus.idems.international/question/bank/history/history.php?entryid=85793&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046&courseid=248,,Changes requested
Approximate percentile of a distribution presented as a histogram,"Given a height distribution in histogram form, need to approximate the percentile specified.",https://ecampus.idems.international/question/bank/history/history.php?entryid=85792&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046&courseid=248,https://ecampus.idems.international/question/bank/history/history.php?entryid=85792&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046&courseid=248,,Changes requested
Selecting the false statement describing features of a distribution,"Given 6 choices describing measures of central tendency and standard deviation, need to select the false one",https://ecampus.idems.international/question/bank/history/history.php?entryid=85791&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046&courseid=248,https://ecampus.idems.international/question/bank/history/history.php?entryid=85791&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046&courseid=248,,Changes requested
Approximate the percentile value for grouped data,"Given a distribution table of a bacteria test, need to approximate and select the right choice for the percentile asked for",https://ecampus.idems.international/question/bank/history/history.php?entryid=85790&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046&courseid=248,https://ecampus.idems.international/question/bank/history/history.php?entryid=85790&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046&courseid=248,,Changes requested
Calculate the corrected mean and standard deviation values,"Given information on the mean and standard deviation calculated and the error identified in the measuring scale,need to calculate the corrected values.",https://ecampus.idems.international/question/bank/history/history.php?entryid=86739&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046&courseid=248,https://ecampus.idems.international/question/bank/history/history.php?entryid=86739&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046&courseid=248,,Changes requested
Calculate number corresponding to given percentile,"Given the grade of a student in percentiles, need to select the grade of the student scored higher than him",https://ecampus.idems.international/question/bank/history/history.php?entryid=86738&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046&courseid=248,https://ecampus.idems.international/question/bank/history/history.php?entryid=86738&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046&courseid=248,,Changes requested
Calculating nominal value of money,"Given the Consumer Price Index (CPI) over several years, find the nominal value of money for the specified yeat",https://ecampus.idems.international/question/bank/history/history.php?entryid=86736&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046&courseid=248,https://ecampus.idems.international/question/bank/history/history.php?entryid=86736&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046&courseid=248,,Changes requested
Approximating the standard deviation given percentiles,"Given information about yield of a variety of wheat, need to approxinate its standard deviation",https://ecampus.idems.international/question/bank/history/history.php?entryid=86735&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046&courseid=248,https://ecampus.idems.international/question/bank/history/history.php?entryid=86735&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046&courseid=248,,
Selecting expected shape for the distribution of scores,"Given 4 choices, need to select expected shape for the distribution of scores",https://ecampus.idems.international/question/bank/history/history.php?entryid=86747&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046&courseid=248,https://ecampus.idems.international/question/bank/history/history.php?entryid=86747&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046&courseid=248,,
Provide recommendations for constructing a histogram for given data,"Given grouped data for tree diameters, select the recommendation that is not viable while creating a histogram",https://ecampus.idems.international/question/bank/history/history.php?entryid=86746&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046&courseid=248,https://ecampus.idems.international/question/bank/history/history.php?entryid=86746&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046&courseid=248,,
Fill in gaps about data collection,"Given statement concerned with collection of data, need to fill in the blanks",https://ecampus.idems.international/question/bank/history/history.php?entryid=86745&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046&courseid=248,https://ecampus.idems.international/question/bank/history/history.php?entryid=86745&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046&courseid=248,,
Interpret boxplots provided and identify the false statement,"Given 5 choices about the wieghts of students presented as boxplots, need to select the false statement",https://ecampus.idems.international/question/bank/history/history.php?entryid=86744&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046&courseid=248,https://ecampus.idems.international/question/bank/history/history.php?entryid=86744&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046&courseid=248,,
Finding the percentage of students who obtained a particular grade given their scores,"Given ogive of scores of students in an introductory statistics class, need to find percentage of students who obtained a grade of C or C+",https://ecampus.idems.international/question/bank/history/history.php?entryid=86742&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046&courseid=248,https://ecampus.idems.international/question/bank/history/history.php?entryid=86742&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046&courseid=248,,Changes requested
Finding the quartile of a given marks distribution,"Given marks distribution of students presented as a stem and leaf plot, need to calculate the quartile specified",https://ecampus.idems.international/question/bank/history/history.php?entryid=86753&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046&courseid=248,https://ecampus.idems.international/question/bank/history/history.php?entryid=86753&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046&courseid=248,,Changes requested
Selecting false statement describing presentation of data,"Given 5 options on boxplots, scatterplots, piechart, bargraphs and frequency tables, need to select the false statement",https://ecampus.idems.international/question/bank/history/history.php?entryid=86752&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046&courseid=248,https://ecampus.idems.international/question/bank/history/history.php?entryid=86752&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046&courseid=248,,Changes requested
Selecting true statement about a stem and leaf plot,"Given 5 choices on the usefulness of the stem and leaf plot, need to select a true statement.",https://ecampus.idems.international/question/bank/history/history.php?entryid=86750&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046&courseid=248,https://ecampus.idems.international/question/bank/history/history.php?entryid=86750&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046&courseid=248,,Changes requested
"Analysis of Mean, Median, and Histogram Shape in the Presence of Outliers",This question asks students to analyze the impact on the mean and median of the data set and identify the shape of the corresponding histogram. Students are presented with five options and are required to select the most appropriate choice.,https://ecampus.idems.international/question/bank/history/history.php?entryid=86758&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046&courseid=248,https://ecampus.idems.international/question/bank/history/history.php?entryid=86758&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046&courseid=248,,Ready for review
Geometric & Harmonic Mean,,,,Needs to be created,#NAME?
Sources of Demographic data,"Given 5 choices, need to select true statements about the weights of males and female students",,,Needs to be created,#NAME?
Finding Percentiles,"Given a table with grouped data, find the cumulative frequencie of the given data and find the percentiles",https://ecampus.idems.international/question/bank/history/history.php?entryid=106047&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D13949%252C1%26recurse%3D0%26showhidden%3D1%26qbshowtext%3D0&courseid=248,https://ecampus.idems.international/question/bank/history/history.php?entryid=106047&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D13949%252C1%26recurse%3D0%26showhidden%3D1%26qbshowtext%3D0&courseid=248,,Ready for review
Finding Quartiles,"Given a table with grouped data find the first,second and third Quartiles",https://ecampus.idems.international/question/bank/history/history.php?entryid=106048&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D13949%252C1%26recurse%3D0%26showhidden%3D1%26qbshowtext%3D0&courseid=248,https://ecampus.idems.international/question/bank/history/history.php?entryid=106048&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D13949%252C1%26recurse%3D0%26showhidden%3D1%26qbshowtext%3D0&courseid=248,,Ready for review
Finding Medians in Grouped data,Given a table with grouped data and frequencies find the cumulative frequencies and find the Median,https://ecampus.idems.international/question/bank/history/history.php?entryid=106049&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D13949%252C1%26recurse%3D0%26showhidden%3D1%26qbshowtext%3D0&courseid=248,https://ecampus.idems.international/question/bank/history/history.php?entryid=106049&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D13949%252C1%26recurse%3D0%26showhidden%3D1%26qbshowtext%3D0&courseid=248,,Ready for review
Estimating the mean and median of precipitation data presented as a dotplot,"Given a set of precipitation data in dotplot representation, need to estimate its mean and median",https://ecampus.idems.international/question/bank/history/history.php?entryid=84148&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11692%252C82046%26qpage%3D0%26qperpage%3D1000&courseid=248,https://ecampus.idems.international/question/bank/history/history.php?entryid=84148&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11692%252C82046%26qpage%3D0%26qperpage%3D1000&courseid=248,,Ready for review
balanced data test,,https://ecampus.idems.international/question/bank/history/history.php?entryid=108889&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11692%252C82046&courseid=248,https://ecampus.idems.international/question/bank/history/history.php?entryid=108889&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11692%252C82046&courseid=248,,In progress
filter question 1,,https://ecampus.idems.international/question/bank/history/history.php?entryid=108890&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11692%252C82046&courseid=248,https://ecampus.idems.international/question/bank/history/history.php?entryid=108890&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11692%252C82046&courseid=248,,Ready for review
missing values 1,,https://ecampus.idems.international/question/bank/history/history.php?entryid=108891&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11692%252C82046&courseid=248,https://ecampus.idems.international/question/bank/history/history.php?entryid=108891&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11692%252C82046&courseid=248,,Ready for review
model comparison,,https://ecampus.idems.international/question/bank/history/history.php?entryid=108892&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11692%252C82046&courseid=248,https://ecampus.idems.international/question/bank/history/history.php?entryid=108892&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11692%252C82046&courseid=248,,Ready for review
pivot table 1,,https://ecampus.idems.international/question/bank/history/history.php?entryid=108893&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11692%252C82046&courseid=248,https://ecampus.idems.international/question/bank/history/history.php?entryid=108893&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11692%252C82046&courseid=248,,Changes requested
pivot table 2 (proportion),,https://ecampus.idems.international/question/bank/history/history.php?entryid=108894&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11692%252C82046&courseid=248,https://ecampus.idems.international/question/bank/history/history.php?entryid=108894&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11692%252C82046&courseid=248,,Changes requested
pivot table 2 (rounded percentage),,https://ecampus.idems.international/question/bank/history/history.php?entryid=108895&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11692%252C82046&courseid=248,https://ecampus.idems.international/question/bank/history/history.php?entryid=108895&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11692%252C82046&courseid=248,,Changes requested
tomato game,,https://ecampus.idems.international/question/bank/history/history.php?entryid=108896&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11692%252C82046&courseid=248,https://ecampus.idems.international/question/bank/history/history.php?entryid=108896&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11692%252C82046&courseid=248,,Approved
unbalanced data,,https://ecampus.idems.international/question/bank/history/history.php?entryid=108897&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11692%252C82046&courseid=248,https://ecampus.idems.international/question/bank/history/history.php?entryid=108897&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11692%252C82046&courseid=248,,Ready for review
appending data,,https://ecampus.idems.international/question/bank/history/history.php?entryid=108898&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11692%252C82046&courseid=248,https://ecampus.idems.international/question/bank/history/history.php?entryid=108898&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11692%252C82046&courseid=248,,Ready for review
Multiple choice question,The question focuses on identifying the name of summary measure that is computed from only a sample of the population,MCQ,MCQ,Ready for review,#NAME?
Data presentations-question 1,The question focuses on finding the number of students who scored between a given range of marks from a histogram of number students against scores,STACK,STACK,Ready for review,#NAME?
Data presentations-question 4(Frequency table for the time taken and a Histogram),Given a frequency table for the time taken for students at a school to travel to school in the morning.The student is required to complete histogram shown below for the time taken for students to travel to school in the morning.,STACK,STACK,Ready for review,#NAME?
Data presentations-Pie Chart,The question focuses on using a given data to construct a pie chart.,STACK,STACK,Ready for review,#NAME?
Data Presentation -Stem and Leaf Diagrams-q1,The question focuses on using a given data to construct a stem and leaf diagram.,STACK,STACK,Ready for review,#NAME?
Find the range and quartiles using the data in a given stem and leaf diagram,"The question focuses on using a given diagram with a distribution of data in a stem and leaf diagram to find the range, first , second and third quartiles.",STACK,STACK,Ready for review,#NAME?
Data Presentation -Stem and Leaf Diagram-q3,The question focuses on using a given data to construct a stem and leaf diagram.,stack,stack,Ready for review,#NAME?
Creating an Ordered Stem and Leaf Diagram for Party Guest Ages,This question requires the student to organize and display the ages of people at a party using a stem and leaf diagram in ascending order for easy data analysis.,stack,stack,Ready for review,#NAME?
Identifying advantages of using Mean,The question focuses on Identify the advantages of using mean where the gives a list of responses and the student is required to identify that which is not a disadvantage of using mean,Stack,Stack,Ready for review,#NAME?
Calculating Summary Statistics for Cystic Fibrosis Patients' PLmax Data,"This question requires the student to compute the lower and upper quartiles, find the median, and determine the interquartile range for the PLmax (cm H2O) measurements of 15 cystic fibrosis patients.",Stack,Stack,Ready for review,#NAME?
Measures of Location and Dispersion Applications-q3,The question focuses on Identifying characteristics that are not of an ideal measure of central tendency,STACK,STACK,Ready for review,#NAME?
Measures of Location and Dispersion Applications-q9,"Given a list of choices, need to select the methods used to find mode in a discrete series",STACK,STACK,Ready for review,#NAME?
"Use the data in the given table to Find the mean, median, sd, variance-q1","The question focuses on Finding the mean, median, sd, variance and filling in the table for a frequency table with \(5\) classes on a data set of large telecommunications firm employing software engineers",STACK,STACK,Ready for review,#NAME?
Study of Scatteredness in Data,This question requires the student to identify the term that represents the study of scatteredness of observations among the given options,STACK,STACK,Ready for review,#NAME?
Statistical Moments (and the Shape of Distributions)-Q1,The question focuses on finding the first four moments about the arbitrary constant (A = 2080) of the data given with class Intervals and frequencies,STACK,STACK,Ready for review,#NAME?
Calculating Moments about an Arbitrary Constant from Frequency Table,"This question requires the student to calculate the first four moments (mean, variance, skewness, and kurtosis) about the arbitrary constant \(A\) using the provided frequency table.",STACK,STACK,Ready for review,#NAME?
Karl Pearson’s Coefficient of Skewness (SK)_Q1,The question on finding the skewness and kurtosis from a given data in table,STACK,STACK,Ready for review,#NAME?
Skewness (SK) and Kurtosis_Q2,"Part A. Finding the mean, median, mode, sd, variance and filling in the table for a frequency table with \(5\) classes and Part B. The question on finding the skewness and kurtosis from a given data in table and the first,second and third moments",STACK,STACK,Ready for review,#NAME?
LINEAR REGRESSION-Q1,The question focuses on finding the regression equation of the weight of a father and son given the weights of the father and that of the son,STACK,STACK,Ready for review,#NAME?
LINEAR REGRESSION-Q2,"Given values of sum of x,y and the mean of x and y, value of n and the sum of their squares, the question requires the students to find the equation of the regression",STACK,STACK,Ready for review,#NAME?
Linear Regression Analysis for Company's Cost and Output Data,"This question requires the student to calculate the equation of the regression line for total cost (\(y\)) as a function of unit output (\(x\)) based on a three-year dataset, and also find the total cost when the unit price is given.",STACK,STACK,Ready for review,#NAME?
LINEAR REGRESSION-Q4,"The question focuses on finding Product moment correlation coefficient ,Spearman’s coefficient of rank correlation from a given data",STACK,STACK,Ready for review,#NAME?
Pearson correlation coefficient-Q1,The question focuses on finding the pearsons correlation of given data of x and y values,STACK,STACK,Ready for review,#NAME?
Pearson correlation coefficient-Q2,"To compute the Pearson correlation coefficient for the given data, using the formula: \[r = \frac{n(\sum{xy}) - (\sum{x})(\sum{y})}{\sqrt{[n\sum{x^2} - (\sum{x})^2][n\sum{y^2} - (\sum{y})^2]}}\]",STACK,STACK,Ready for review,#NAME?
Spearman's Rank Correlation and Coefficient of Determination Analysis,This question requires the student to calculate the Spearman's rank correlation coefficient between two sets of variables (X and Y) and determine the coefficient of determination. The question also asks the student to interpret the results in terms of the ranks of the variables.,STACK,STACK,Ready for review,#NAME?
The Spearman’s rank correlation coefficient_Q2,This question requires the student to calculate the Spearman's rank correlation coefficient between two sets of variables (X and Y) and determine the coefficient of determination. The question also asks the student to interpret the results in terms of the ranks of the variables.,STACK,STACK,Ready for review,#NAME?
Q1_Concerns of a demographer,The question focuses on outlining the major concerns of a demographer,https://ecampus.idems.international/question/bank/history/history.php?courseid=248&entryid=110691&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11692%252C82046&category=11692%2C82046&lastchanged=136723,https://ecampus.idems.international/question/bank/history/history.php?courseid=248&entryid=110691&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11692%252C82046&category=11692%2C82046&lastchanged=136723,,
,,,,,
1.2.1: Compare Two Datasets,,STACK,STACK,Ready for review,
1.2.2: Match boxplots to dotplots,,STACK,STACK,,
1.3.1: Interpret Distribution (Apples),,STACK,STACK,,
1.3.2: Interpret Distribution (Children),,STACK,STACK,,
2.1.1: Pivot Tables 1,,STACK,STACK,,
2.1.2: Pivot Table (Proportion),,STACK,STACK,,
3.1.3: Visualising Multidimensionality III,,STACK,STACK,,
3.1.1: Visualising Multidimensionality I,,STACK,STACK,,
5: Appending Data,,STACK,STACK,,
Facets I,,STACK,STACK,,
Facets II,,STACK,STACK,,
Facets III,,STACK,STACK,,
6: Filtering to Clean,,STACK,STACK,,
6: Missing Values,,STACK,STACK,,
7: Observing Variability,,STACK,STACK,,
Observing Variability,,STACK,STACK,,
Measuring Variability (11),,STACK,STACK,,
9: ANOVA table - Millet,,STACK,STACK,,
9: ANOVA table - Tomato data,,STACK,STACK,,
9: Interpreting ANOVA,,STACK,STACK,,
10 Natural Variability Hook,,STACK,STACK,,
balanced data test,,STACK,STACK,,
,,STACK,STACK,,
Q1_Concerns of a demographer,,STACK,STACK,,
Q3_Identifying non-uses of vital statisics,-,STACK,STACK,,
Q4_Identifying methods that can be used in vital statistics,-,STACK,STACK,,
Basic Demographic Measures_Q1,-,STACK,STACK,,
Basic Demographic Measures_Q2,-,STACK,STACK,,
Determining factors that lowers birth rates,-,STACK,STACK,,
Basic Demographic Measures_Q4,-,STACK,STACK,,
LIFE TABLES (Single Decrement Tables)_q1,-,STACK,STACK,,
LIFE TABLES (Single Decrement Tables)_q3,-,STACK,STACK,,
LIFE TABLES (Single Decrement Tables)-Applications_q3,-,STACK,STACK,,
LIFE TABLES (Single Decrement Tables)-Applications_q2,-,STACK,STACK,,
Estimating Measure by reading single Decrement Tables(Life Tables),-,STACK,STACK,,
-,-,STACK,STACK,,
-,-,STACK,STACK,,
-,-,STACK,STACK,,
-,-,STACK,STACK,,
-,-,STACK,STACK,,
-,-,STACK,STACK,,
-,-,STACK,STACK,,
-,-,STACK,STACK,,
-,-,STACK,STACK,,
-,-,STACK,STACK,,
-,-,STACK,STACK,,
-,-,STACK,STACK,,
-,-,STACK,STACK,,
-,-,STACK,STACK,,
-,-,STACK,STACK,,
-,-,STACK,STACK,,
-,-,STACK,STACK,,
-,-,STACK,STACK,,
-,-,STACK,STACK,,
-,-,STACK,STACK,,
,,STACK,,,
,,STACK,,,
,,STACK,,,
,,STACK,,,
,,STACK,,,
,,STACK,,,
,,STACK,,,
,,STACK,,,
,,STACK,,,
,,STACK,,,
,,STACK,,,
,,STACK,,,
